location,date,origin,entries
Rennes les champs libres,2010-12-17,rdc 2,30
Rennes les champs libres,2010-12-18,rdc 2,39
Rennes les champs libres,2010-12-19,rdc 2,41
Rennes les champs libres,2010-12-21,rdc 2,63
Rennes les champs libres,2010-12-22,rdc 2,69
Rennes les champs libres,2010-12-23,rdc 2,62
Rennes les champs libres,2010-12-24,rdc 2,23
Rennes les champs libres,2010-12-26,rdc 2,28
Rennes les champs libres,2010-12-28,rdc 2,60
Rennes les champs libres,2010-12-29,rdc 2,50
Rennes les champs libres,2010-12-30,rdc 2,45
Rennes les champs libres,2010-12-31,rdc 2,14
Rennes les champs libres,2010-05-02,rdc 3,1
Rennes les champs libres,2010-05-04,rdc 3,1977
Rennes les champs libres,2010-05-05,rdc 3,1786
Rennes les champs libres,2010-05-06,rdc 3,1356
Rennes les champs libres,2010-05-07,rdc 3,1246
Rennes les champs libres,2010-05-11,rdc 3,2073
Rennes les champs libres,2010-05-12,rdc 3,1429
Rennes les champs libres,2010-05-14,rdc 3,1789
Rennes les champs libres,2010-05-15,rdc 3,1554
Rennes les champs libres,2010-05-18,rdc 3,1659
Rennes les champs libres,2010-05-19,rdc 3,1565
Rennes les champs libres,2010-05-20,rdc 3,1111
Rennes les champs libres,2010-05-21,rdc 3,973
Rennes les champs libres,2010-05-22,rdc 3,1160
Rennes les champs libres,2010-05-25,rdc 3,1326
Rennes les champs libres,2010-05-26,rdc 3,1499
Rennes les champs libres,2010-05-27,rdc 3,1
Rennes les champs libres,2010-05-28,rdc 3,1170
Rennes les champs libres,2010-05-29,rdc 3,1668
Rennes les champs libres,2010-06-01,rdc 3,1712
Rennes les champs libres,2010-06-02,rdc 3,1596
Rennes les champs libres,2010-06-03,rdc 3,1060
Rennes les champs libres,2010-06-04,rdc 3,963
Rennes les champs libres,2010-06-05,rdc 3,1162
Rennes les champs libres,2010-06-08,rdc 3,1763
Rennes les champs libres,2010-06-09,rdc 3,1700
Rennes les champs libres,2010-06-10,rdc 3,1294
Rennes les champs libres,2010-06-11,rdc 3,1196
Rennes les champs libres,2010-06-12,rdc 3,1375
Rennes les champs libres,2010-06-15,rdc 3,1793
Rennes les champs libres,2010-06-16,rdc 3,1545
Rennes les champs libres,2010-06-17,rdc 3,1116
Rennes les champs libres,2010-06-18,rdc 3,1059
Rennes les champs libres,2010-06-19,rdc 3,1314
Rennes les champs libres,2010-06-22,rdc 3,1305
Rennes les champs libres,2010-06-23,rdc 3,1140
Rennes les champs libres,2010-06-25,rdc 3,965
Rennes les champs libres,2010-06-26,rdc 3,853
Rennes les champs libres,2010-06-29,rdc 3,1247
Rennes les champs libres,2010-06-30,rdc 3,911
Rennes les champs libres,2010-07-01,rdc 3,830
Rennes les champs libres,2010-07-02,rdc 3,827
Rennes les champs libres,2010-07-03,rdc 3,974
Rennes les champs libres,2010-07-06,rdc 3,1227
Rennes les champs libres,2010-07-07,rdc 3,941
Rennes les champs libres,2010-07-08,rdc 3,827
Rennes les champs libres,2010-07-09,rdc 3,909
Rennes les champs libres,2010-07-10,rdc 3,809
Rennes les champs libres,2010-07-13,rdc 3,1189
Rennes les champs libres,2010-07-15,rdc 3,1070
Rennes les champs libres,2010-07-16,rdc 3,943
Rennes les champs libres,2010-07-17,rdc 3,934
Rennes les champs libres,2010-07-20,rdc 3,1074
Rennes les champs libres,2010-07-21,rdc 3,1016
Rennes les champs libres,2010-07-22,rdc 3,842
Rennes les champs libres,2010-07-23,rdc 3,875
Rennes les champs libres,2010-07-24,rdc 3,984
Rennes les champs libres,2010-07-27,rdc 3,1208
Rennes les champs libres,2010-07-28,rdc 3,974
Rennes les champs libres,2010-07-29,rdc 3,962
Rennes les champs libres,2010-07-30,rdc 3,808
Rennes les champs libres,2010-07-31,rdc 3,805
Rennes les champs libres,2010-08-03,rdc 3,1185
Rennes les champs libres,2010-08-04,rdc 3,1127
Rennes les champs libres,2010-08-05,rdc 3,915
Rennes les champs libres,2010-08-06,rdc 3,765
Rennes les champs libres,2010-08-07,rdc 3,875
Rennes les champs libres,2010-08-10,rdc 3,1214
Rennes les champs libres,2010-08-11,rdc 3,981
Rennes les champs libres,2010-08-12,rdc 3,889
Rennes les champs libres,2010-08-13,rdc 3,826
Rennes les champs libres,2010-08-14,rdc 3,1090
Rennes les champs libres,2010-08-17,rdc 3,1314
Rennes les champs libres,2010-08-18,rdc 3,1091
Rennes les champs libres,2010-08-19,rdc 3,946
Rennes les champs libres,2010-08-20,rdc 3,821
Rennes les champs libres,2010-08-21,rdc 3,846
Rennes les champs libres,2010-08-24,rdc 3,1316
Rennes les champs libres,2010-08-25,rdc 3,1321
Rennes les champs libres,2010-08-26,rdc 3,1302
Rennes les champs libres,2010-08-27,rdc 3,1103
Rennes les champs libres,2010-08-28,rdc 3,1107
Rennes les champs libres,2010-08-31,rdc 3,1543
Rennes les champs libres,2010-09-01,rdc 3,1207
Rennes les champs libres,2010-09-02,rdc 3,1013
Rennes les champs libres,2010-09-03,rdc 3,908
Rennes les champs libres,2010-09-04,rdc 3,1228
Rennes les champs libres,2010-09-07,rdc 3,2
Rennes les champs libres,2010-09-08,rdc 3,1627
Rennes les champs libres,2010-09-09,rdc 3,1225
Rennes les champs libres,2010-09-10,rdc 3,1126
Rennes les champs libres,2010-09-11,rdc 3,1594
Rennes les champs libres,2010-09-14,rdc 3,1465
Rennes les champs libres,2010-09-15,rdc 3,1483
Rennes les champs libres,2010-09-16,rdc 3,1178
Rennes les champs libres,2010-09-17,rdc 3,1119
Rennes les champs libres,2010-09-18,rdc 3,1372
Rennes les champs libres,2010-09-21,rdc 3,1534
Rennes les champs libres,2010-09-22,rdc 3,1469
Rennes les champs libres,2010-09-23,rdc 3,1
Rennes les champs libres,2010-09-24,rdc 3,1330
Rennes les champs libres,2010-09-25,rdc 3,1777
Rennes les champs libres,2010-09-28,rdc 3,1702
Rennes les champs libres,2010-09-29,rdc 3,1669
Rennes les champs libres,2010-09-30,rdc 3,1407
Rennes les champs libres,2010-10-01,rdc 3,1127
Rennes les champs libres,2010-10-02,rdc 3,1915
Rennes les champs libres,2010-10-03,rdc 3,1561
Rennes les champs libres,2010-10-05,rdc 3,1700
Rennes les champs libres,2010-10-06,rdc 3,1881
Rennes les champs libres,2010-10-07,rdc 3,1383
Rennes les champs libres,2010-10-08,rdc 3,1260
Rennes les champs libres,2010-10-09,rdc 3,1683
Rennes les champs libres,2010-10-10,rdc 3,1162
Rennes les champs libres,2010-10-12,rdc 3,1238
Rennes les champs libres,2010-10-13,rdc 3,1843
Rennes les champs libres,2010-10-14,rdc 3,1490
Rennes les champs libres,2010-10-15,rdc 3,1368
Rennes les champs libres,2010-10-16,rdc 3,1829
Rennes les champs libres,2010-10-17,rdc 3,1713
Rennes les champs libres,2010-10-19,rdc 3,1351
Rennes les champs libres,2010-10-20,rdc 3,1922
Rennes les champs libres,2010-10-21,rdc 3,1529
Rennes les champs libres,2010-10-22,rdc 3,1389
Rennes les champs libres,2010-10-23,rdc 3,1942
Rennes les champs libres,2010-10-24,rdc 3,1343
Rennes les champs libres,2010-10-26,rdc 3,2758
Rennes les champs libres,2010-10-27,rdc 3,1934
Rennes les champs libres,2010-10-28,rdc 3,1752
Rennes les champs libres,2010-10-29,rdc 3,1754
Rennes les champs libres,2010-10-30,rdc 3,1579
Rennes les champs libres,2010-10-31,rdc 3,1339
Rennes les champs libres,2010-11-02,rdc 3,2290
Rennes les champs libres,2010-11-03,rdc 3,1535
Rennes les champs libres,2010-11-04,rdc 3,1446
Rennes les champs libres,2010-11-05,rdc 3,1343
Rennes les champs libres,2010-11-06,rdc 3,1942
Rennes les champs libres,2010-11-07,rdc 3,2171
Rennes les champs libres,2010-11-09,rdc 3,1863
Rennes les champs libres,2010-11-10,rdc 3,1887
Rennes les champs libres,2010-11-12,rdc 3,2302
